airport_code,airport_name,city,country,timezone,latitude,longitude
AP274,Kelleybury Intl Airport,Kelleybury,Niue,Asia/Rangoon,77.125148,-91.899192
AP275,New Kendraberg Intl Airport,New Kendraberg,Guernsey,Asia/Aqtobe,-2.92662,-102.151564
AP276,East Katie Intl Airport,East Katie,Cameroon,Africa/Khartoum,-86.688332,131.12749
AP277,Villafurt Intl Airport,Villafurt,Netherlands Antilles,Pacific/Kiritimati,-25.744505,53.728543
AP278,Wrightborough Intl Airport,Wrightborough,Hungary,Africa/Lagos,51.528235,131.579453
AP279,Brendamouth Intl Airport,Brendamouth,Jamaica,America/Lima,-86.160381,-13.605929
AP280,South Sandra Intl Airport,South Sandra,Reunion,Africa/Accra,33.194572,22.311389
AP281,New Leslie Intl Airport,New Leslie,Djibouti,Africa/Porto-Novo,-8.155014,14.337629
AP282,Tammymouth Intl Airport,Tammymouth,Canada,Europe/Vilnius,-77.390908,-152.089653
AP283,South Thomasburgh Intl Airport,South Thomasburgh,Botswana,Europe/Stockholm,-37.110797,-98.653198
AP284,Wardstad Intl Airport,Wardstad,Dominican Republic,Asia/Brunei,-53.345327,-173.695536
AP285,New Jamesville Intl Airport,New Jamesville,Grenada,Africa/Douala,-36.250073,-51.699843
AP286,Bakerbury Intl Airport,Bakerbury,Sweden,Asia/Dubai,18.759557,-80.034526
AP287,Lake Emily Intl Airport,Lake Emily,Armenia,America/St_Kitts,10.708509,109.652431
AP288,North Sarahstad Intl Airport,North Sarahstad,Bosnia and Herzegovina,America/Nassau,79.849152,40.557489
AP289,West Kathleen Intl Airport,West Kathleen,Albania,America/Barbados,-51.905014,-6.820646
AP290,Timothyshire Intl Airport,Timothyshire,Rwanda,Pacific/Fiji,57.876821,-167.647079
AP291,Lake Douglaschester Intl Airport,Lake Douglaschester,Lesotho,Africa/Freetown,-35.870554,-91.065601
AP292,West Jennifer Intl Airport,West Jennifer,Bulgaria,Africa/Johannesburg,-4.472481,62.232453
AP293,West Elizabeth Intl Airport,West Elizabeth,Iraq,Africa/Kigali,-13.932812,155.630251
AP294,Walterchester Intl Airport,Walterchester,Uzbekistan,Africa/Harare,54.991574,37.866639
AP295,South James Intl Airport,South James,Sao Tome and Principe,America/St_Kitts,64.686562,33.389266
AP296,Lake Nicholas Intl Airport,Lake Nicholas,Dominican Republic,Africa/Kigali,26.96305,49.852969
AP297,Melissaview Intl Airport,Melissaview,Oman,America/Mazatlan,75.641153,44.767375
AP298,South Mary Intl Airport,South Mary,Dominica,America/Panama,-78.54818,92.631618
AP299,South Ronaldburgh Intl Airport,South Ronaldburgh,El Salvador,Africa/Niamey,10.867833,-96.891394
AP300,South Stephanie Intl Airport,South Stephanie,Bangladesh,Asia/Jerusalem,-58.285464,-64.529729
